Id,Nombre
2,Ciudad Autonoma de Buenos Aires
6,Provincia de Buenos Aires
10,Provincia de Catamarca
14,Provincia de Cordoba
18,Provincia de Corrientes
22,Provincia de Chaco
26,Provincia de Chubut
30,Provincia de Entre Rï¿½os
34,Provincia de Formosa
38,Provincia de Jujuy
42,Provincia de La Pampa
46,Provincia de La Rioja
50,Provincia de Mendoza
54,Provincia de Misiones
58,Provincia de Neuquen
62,Provincia de Rio Negro
66,Provincia de Salta
70,Provincia de San Juan
74,Provincia de San Luis
78,Provincia de Santa Cruz
82,Provincia de Santa Fe
86,Provincia de Santiago del Estero
90,Provincia de Tucuman
94,"Provincia de Tierra del Fuego,  Antartida e Islas del Atlantico Sur"
